,Kanji,Reading,Meaning,Frequency
98,完成,かんせい,completion; perfection; accomplishment,1539.0
99,完全,かんぜん,perfect; complete,908.0
100,監督,かんとく,[1] supervision; control; superintendence; direction [2] director; superintendent; supervisor; coach; foreman; manager; overseer; controller; boss,1621.0
101,感動,かんどう,being deeply moved emotionally; excitement; passion; inspiration; deep emotion; strong impression,1043.0
102,管理,かんり,control; management (e.g. of a business),1616.0
103,完了,かんりょう,[1] completion; conclusion [2] perfect (tense),3826.0
104,関連,かんれん,relation; connection; relevance,1660.0
105,,カー,car,
106,,カード,"[1] card (information, filing, etc.) [2] card (greetings, congratulations, etc.) [3] (Western) playing cards",2090.0
107,害,がい,injury; harm; evil influence; damage,4245.0
108,外交,がいこう,[1] diplomacy [2] selling (e.g. door-to-door); canvassing,
109,外出,がいしゅつ,"[1] going out; outing; leaving (one's home, office, etc.) [2] Sotode",4089.0
110,画家,がか,painter; artist,4874.0
111,額,がく,[1] (picture) frame; framed picture [2] amount (esp. of money); sum,1376.0
112,学,がく,[1] learning; scholarship; study; erudition; knowledge; education [2] study of ...; -ology; -ics,
113,学者,がくしゃ,[1] scholar; academic; scientist [2] learned person; person of learning,4474.0
114,学習,がくしゅう,learning; study,2685.0
115,学問,がくもん,[1] study; scholarship; learning; education; knowledge [2] discipline; branch of learning; (a) science,3586.0
116,,がっかり,[1] to be disappointed; to be dejected; to be downhearted; to be discouraged; to be disheartened; to lose heart; to feel let down [2] to feel exhausted; to feel drained,3726.0
117,学期,がっき,school term; semester,
118,我慢,がまん,[1] endurance; patience; perseverance; bearing (with something) [2] self-control; self-restraint,1393.0
119,柄,がら,[1] pattern; design [2] body build; figure; physique [3] essential qualities; character; nature,4028.0
120,記憶,きおく,[1] memory; recollection; remembrance [2] memory; storage,652.0
121,気温,きおん,(air) temperature,3236.0
122,機械,きかい,[1] machine; mechanism [2] instrument; appliance; apparatus,1566.0
123,期間,きかん,period; term; interval,1239.0
124,機関,きかん,[1] engine [2] agency; organisation; organization; institution; organ; body [3] system; facility; facilities,3432.0
125,企業,きぎょう,enterprise; business; company; corporation,588.0
126,利く,きく,"[1] to be effective; to take effect; to be good (for) [2] to work; to function well [3] to be possible (to do, use, etc.); to be able to",1051.0
127,効く,きく,"[1] to be effective; to take effect; to be good (for) [2] to work; to function well [3] to be possible (to do, use, etc.); to be able to",
128,機嫌,きげん,[1] humour; humor; temper; mood; spirits [2] safety; health; well-being; one's situation [3] in a good mood; in high spirits; happy; cheery; merry; chipper,
129,気候,きこう,climate,3708.0
130,岸,きし,bank; coast; shore,
131,記者,きしゃ,reporter; journalist,3988.0
132,記事,きじ,article; news story; report; account,958.0
133,生地,きじ,[1] cloth; fabric; material; texture [2] dough; batter [3] inherent quality; one's true character; one's true colours,1572.0
134,傷,きず,[1] wound; injury; cut; gash; bruise; scratch; scrape; scar [2] chip; crack; scratch; nick [3] flaw; defect; weakness; weak point,2062.0
135,期待,きたい,[1] expectation; anticipation; hope [2] promising; rising; up-and-coming,701.0
136,帰宅,きたく,returning home; going home; coming home; getting home,3496.0
137,貴重,きちょう,precious; valuable,2302.0
138,,きちんと,[1] properly; accurately; exactly; precisely; regularly [2] neatly; tidily; orderly,892.0
139,,きつい,"[1] tough; hard; severe; demanding; harsh [2] determined; strong-minded; forceful; formidable; fierce [3] strong (e.g. sunlight, alcohol); severe; intense",1786.0
140,気づく,きづく,[1] to notice; to realize; to realise; to become aware (of); to perceive; to sense; to suspect [2] to regain consciousness; to come to (one's senses); to come round,644.0
141,気に入る,きにいる,to like; to be pleased with; to be delighted with; to take a liking to; to suit one's fancy,
142,記入,きにゅう,"entry (in a form, register, diary, etc.); filling in; filling out",2821.0
143,記念,きねん,[1] commemoration; celebration; remembrance; memory; honoring the memory of [2] memento; souvenir; keepsake,3846.0
144,機能,きのう,function; facility; faculty; feature,1021.0
145,気の毒,きのどく,[1] pitiful; unfortunate; poor; miserable; wretched [2] unpardonable; regrettable,
146,寄付,きふ,[1] contribution; donation [2] Kifu,
147,基本,きほん,basics; fundamentals; basis; foundation,1387.0
148,希望,きぼう,[1] hope; wish; aspiration [2] (bright) prospects; expectation,1055.0
149,決まり,きまり,[1] rule; regulation [2] settlement; conclusion; end; agreement; arrangement [3] habit; custom; habitual way,4859.0
150,気味,きみ,[1] sensation; feeling [2] tendency; propensity,
151,奇妙,きみょう,strange; odd; peculiar; queer; curious,3419.0
152,,キャプテン,captain,
153,,キャンプ,camp; camping,2428.0
154,九,きゅう,nine; 9,141.0
155,旧,きゅう,[1] old; former; ex- [2] the old; old things; old customs [3] old times; bygone days,
156,級,きゅう,"[1] (school) grade; year; class [2] class; grade; rank; level [3] kyu (junior rank in martial arts, go, shogi, etc.)",
157,球,きゅう,[1] sphere; globe; ball; bulb [2] ball; sphere [3] counter for pitches,
158,休憩,きゅうけい,rest; break; recess; intermission,3897.0
159,急激,きゅうげき,sudden; abrupt; rapid; sharp; drastic; radical,3643.0
160,吸収,きゅうしゅう,absorption; suction; attraction,2803.0
161,救助,きゅうじょ,relief; aid; rescue,
162,急速,きゅうそく,rapid (e.g. progress),2677.0
163,急に,きゅうに,"[1] swiftly; rapidly; quickly; immediately; hastily; hurriedly [2] suddenly; abruptly; unexpectedly [3] sharply (of a slope, bend, etc.); steeply",
164,給料,きゅうりょう,salary; wages; pay,2576.0
165,教科書,きょうかしょ,textbook; coursebook; schoolbook,2552.0
166,供給,きょうきゅう,supply; provision,3009.0
167,競技,きょうぎ,game; match; contest; competition; sport; (sporting) event,
168,教師,きょうし,teacher; instructor,1743.0
169,教授,きょうじゅ,[1] professor [2] teaching; instruction,2307.0
170,強調,きょうちょう,[1] emphasis; stress; highlighting; underlining; underscoring [2] accentuating (a feature or certain part); accenting [3] strong tone (of the market); firm tone,2346.0
171,共通,きょうつう,[1] common; shared; mutual [2] to be common (to); to be shared (by) [3] -wide,1644.0
172,共同,きょうどう,[1] cooperation; collaboration; association; partnership; (acting in) unison [2] community; communal use; common possession; sharing [3] Kyoudou,3587.0
173,恐怖,きょうふ,fear; dread; dismay; terror; horror; scare; panic,2327.0
174,協力,きょうりょく,cooperation; collaboration; help; support,1107.0
175,強力,きょうりょく,powerful; strong,3079.0
176,許可,きょか,permission; approval; authorization; license,2268.0
177,局,きょく,"[1] bureau; department [2] office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange [3] affair; situation",
178,極,きょく,[1] pole [2] climax; extreme; extremity; culmination; height; zenith; nadir,
179,巨大,きょだい,huge; gigantic; enormous,2309.0
180,器用,きよう,[1] skillful; skilful; adroit; dexterous; dextrous; deft; nimble; handy [2] clever; shrewd; ingenious,
181,嫌う,きらう,to hate; to dislike; to loathe,2730.0
182,霧,きり,[1] fog; mist [2] spray,4552.0
183,切れ,きれ,[1] piece; slice; strip; scrap [2] cloth [3] sharpness,
184,切れる,きれる,[10] to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able [11] to be short of; to drop under (a certain figure); to beat (e.g. a record time) [12] to dry off,1511.0
185,記録,きろく,"[1] record; document; minutes; recording; putting on record; keeping a record (of); writing down [2] record (e.g. in sports); setting (a record); recording (a record high, etc.)",1191.0
186,金,きん,[10] Jin dynasty (of China; 1115-1234); Chin dynasty; Jurchen dynasty [11] gold general [12] testicles,1452.0
187,禁煙,きんえん,[1] abstaining from smoking; quitting smoking [2] prohibition of smoking [3] No Smoking; Smoking Prohibited,4841.0
188,金額,きんがく,amount of money; sum,1240.0
189,金庫,きんこ,[1] safe; strongbox; cashbox; vault; strongroom [2] depository; cash office; treasury; provider of funds,
190,禁止,きんし,prohibition; inhibition; ban,2332.0
191,金銭,きんせん,money; cash,
192,金属,きんぞく,[1] metal [2] Kinzoku,4176.0
193,近代,きんだい,"[1] present day; modern times; recent times [2] early modern period (in Japan, usu. from the Meiji Restoration until the end of World War II)",
194,緊張,きんちょう,"[1] tension; strain; nervousness; stress [2] tensions (between countries, groups, etc.) [3] tonus; muscle tone",1491.0
195,筋肉,きんにく,muscle,1927.0
196,金融,きんゆう,[1] finance; financing; credit transacting; loaning of money; circulation of money [2] monetary; financial; credit,
197,金曜,きんよう,Friday,
198,議員,ぎいん,member of an assembly; member of the Diet; member of parliament; member of Congress,4513.0
199,議会,ぎかい,congress; parliament; diet; legislative assembly,4301.0
200,技師,ぎし,engineer; technician,
201,義務,ぎむ,duty; obligation; responsibility,2607.0
202,疑問,ぎもん,doubt; question; suspicion; dubiousness,1254.0
203,逆,ぎゃく,"[1] reverse; opposite [2] converse (of a hypothesis, etc.) [3] inverse (function)",447.0
204,行儀,ぎょうぎ,manners; behavior; behaviour,
205,議論,ぎろん,argument; discussion; dispute; controversy,1190.0
206,銀,ぎん,"[1] silver (Ag) [2] silver (color) [3] silver (medal, prize, etc.)",4126.0
207,句,く,"[1] section (i.e. of text); sentence; passage; paragraph [2] phrase [3] verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry)",
208,食う,くう,[1] to eat [2] to live; to make a living; to survive [3] to bite; to sting (as insects do),1273.0
209,臭い,くさい,[1] stinking; smelly [2] suspicious; fishy [3] clumsy; unskilled,3639.0
210,鎖,くさり,[1] chain; chains [2] Kusari,
211,腐る,くさる,[1] to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk) [2] to corrode; to weather; to crumble [3] to become useless; to blunt; to weaken (from lack of practice),4606.0
212,癖,くせ,[1] habit (usu. a bad one); tendency [2] peculiarity; idiosyncrasy; mannerism; quirk [3] crease; wrinkle; curl; kink,1899.0
213,下さる,くださる,[1] to give; to confer; to bestow [2] to kindly do for one; to oblige; to favour; to favor,1721.0
214,下り,くだり,[1] down-train; train heading toward the ending point of its route [2] down-slope; downward going [3] downbound (esp. away from Tokyo),
215,苦痛,くつう,pain; agony; suffering; distress; torment,3265.0
216,区別,くべつ,distinction; differentiation; discrimination; difference,2236.0
217,組,くみ,[1] class (of students) [2] group (of people); party; team; crew [3] lot; bunch; set,
218,組合,くみあい,association; union; guild,
219,組む,くむ,[1] to cross (legs or arms); to link (arms) [2] to put together; to construct; to assemble; to produce (e.g. TV program) [3] to braid; to plait,1603.0
220,位,くらい,[1] throne; crown; (nobleman's) seat [2] government position; court rank [3] social standing; rank; class; echelon; rung,
221,暮らし,くらし,(way of) life; living; livelihood; life circumstances,2622.0
222,,クラシック,[1] classical music [2] classic; classical [3] classic (work); the classics,
223,暮らす,くらす,[1] to live; to get along [2] to spend (time),835.0
224,繰り返す,くりかえす,to repeat; to do over again,794.0
225,,クリスマス,Christmas,2580.0
226,,クリーム,[1] cream [2] ice cream,
227,狂う,くるう,"[1] to go mad; to lose one's mind; to go crazy; to go insane [2] to get out of order; to go amiss; to malfunction; to become imprecise [3] to go wrong (of a plan or expectation, etc.); to fall through; to get mixed up",3608.0
228,苦しい,くるしい,[1] painful; difficult; tough; hard [2] distressing; (psychologically) difficult; stressful; awkward (e.g. position) [3] straitened (circumstances); tight (financial situation); needy; struggling,1450.0
229,苦しむ,くるしむ,to suffer; to groan; to be worried,2340.0
230,暮れ,くれ,[1] sunset; sundown; nightfall; dusk [2] end; close [3] year-end; end of the year,
231,苦労,くろう,[1] trouble; hardship; difficulty; labour; labor; toil; pains [2] anxiety; worry; concern; cares,1168.0
232,加える,くわえる,[1] to add; to add up; to sum up; to append; to annex [2] to increase; to gather (e.g. speed); to pick up [3] to include; to count in; to let join,4730.0
233,詳しい,くわしい,[1] detailed; full; minute [2] knowing very well; knowledgeable (about); well-acquainted (with); well-informed (about); familiar (with),755.0
234,加わる,くわわる,[1] to be added to; to be appended [2] to join in (e.g. a group of friends); to participate [3] to increase (e.g. heat); to gain in (e.g. influence); to grow; to gather (speed),2256.0
235,訓,くん,[1] native Japanese reading of a Chinese character [2] precept; lesson; one's teachings,
236,訓練,くんれん,training; drill; practice; discipline,2235.0
237,偶然,ぐうぜん,[1] coincidence; chance; accident; fortuity [2] by chance; unexpectedly; accidentally [3] contingency,2192.0
238,具体,ぐたい,concreteness; embodiment,
239,,ぐっすり,soundly (sleeping); fast (asleep),
240,,グラス,[1] glass (drinking vessel) [2] glass (material) [3] glasses (eyewear),4090.0
241,,グランド,grand; large,
242,,グループ,group (usu. of people),1351.0
243,軍,ぐん,[1] army; armed forces; troops [2] military authorities [3] team; group; troupe,3950.0
244,軍隊,ぐんたい,armed forces; military; troops,3657.0
245,敬意,けいい,respect; honour; honor,
246,経営,けいえい,management; administration; operation; running (a business); conducting,1330.0
247,計画,けいかく,plan; project; schedule; scheme; program; programme,1039.0
248,景気,けいき,[1] business conditions; the market; economic activity; economic climate [2] good (economic) times; prosperity; boom [3] liveliness; energy; vigour; vigor; spirit,2713.0
249,経験,けいけん,experience,409.0
250,傾向,けいこう,tendency; trend; inclination,1249.0
251,警告,けいこく,[1] warning; caution; admonition [2] keikoku (penalty in judo),
252,計算,けいさん,[1] calculation; computation; reckoning; counting; adding up; working out; figures [2] consideration; calculation; estimation; expectation,1293.0
253,掲示,けいじ,notice; bulletin; post; posting; placard,
254,刑事,けいじ,[1] (police) detective [2] criminal matter,4909.0
255,契約,けいやく,contract; compact; agreement,1602.0
256,経由,けいゆ,going through; going via; going by way of,
257,怪我,けが,[1] injury; wound [2] mistake; accident; loss,1749.0
258,化粧,けしょう,[1] make-up; makeup; cosmetics [2] decoration; dressing; veneer,3938.0
259,,ケチ,[1] stinginess; miserliness; penny-pinching; miser; pinchpenny; skinflint; cheapskate; tightwad; niggard [2] shabby; cheap; mangy; poor; paltry [3] petty; narrow-minded; mean-spirited; small-minded,
260,結果,けっか,[1] result; consequence; outcome; effect [2] as a result of ...; as a consequence of ...; after ...; following ... [3] bearing fruit; fruiting,351.0
261,結局,けっきょく,"[1] after all; in the end; ultimately; eventually [2] conclusion; end [3] end of a game of go, shogi, etc.",291.0
262,決心,けっしん,determination; resolution,3660.0
263,決定,けってい,decision; determination,1117.0
264,欠点,けってん,[1] fault; defect; flaw; weak point; weakness; shortcoming; drawback [2] failure (in an examination); failing grade,3580.0
265,結論,けつろん,"[1] conclusion (of an argument, discussion, study, etc.) [2] conclusion",1731.0
266,煙,けむり,smoke; fumes,2496.0
267,県,けん,"prefecture (of Japan); county (of China, Taiwan, Norway, etc.); department (of France); province (of Italy, Spain, etc.)",2045.0
268,券,けん,ticket; coupon; bond; certificate,
269,軒,けん,"[1] counter for buildings (esp. houses) [2] suffix for a pen name, stage name, etc.",
270,見解,けんかい,opinion; point of view,3102.0
271,健康,けんこう,[1] health [2] healthy; sound; fit; wholesome,667.0
272,検査,けんさ,"inspection (e.g. customs, factory); examination; test; check; scan (e.g. MRI, PET); audit",1454.0
273,建設,けんせつ,construction; establishment,2110.0
274,建築,けんちく,construction; architecture (of buildings),3012.0
275,検討,けんとう,consideration; examination; investigation; study; scrutiny; discussion; analysis; review,983.0
276,見当,けんとう,[1] estimate; guess; conjecture; aim [2] direction; bearings [3] registration mark (printing),
277,憲法,けんぽう,[1] constitution [2] rules; regulation,2671.0
278,権利,けんり,right; privilege,1291.0
279,,ケース,"[1] case (container) [2] case (instance, situation) [3] case",1248.0
280,下,げ,"[1] lowness (of degree, value, etc.); inferiority [2] second volume (of two); third volume (of three)",
281,芸術,げいじゅつ,art; the arts,3481.0
282,劇,げき,[1] drama; play [2] powerful drug,
283,劇場,げきじょう,theatre; theater; playhouse,
284,月,げつ,Monday,2095.0
285,月曜,げつよう,Monday,
286,限界,げんかい,limit; bound,2415.0
287,現金,げんきん,[1] cash; ready money; money on hand; currency [2] mercenary; self-interested; calculating,3722.0
288,言語,げんご,language,2512.0
289,現在,げんざい,[1] the present; present time; now [2] as of [3] present tense,227.0
290,現象,げんしょう,phenomenon,2265.0
291,現実,げんじつ,reality; actuality; hard fact,820.0
292,現状,げんじょう,present condition; existing state; status quo; current state,1256.0
293,現代,げんだい,[1] present age; present day; today [2] modern era; modern times,1638.0
294,現場,げんば,"[1] actual spot; scene (of a crime, accident, etc.) [2] (on) site; (on) the ground; (in) the field; job site [3] filming location; (movie) set",1314.0
295,,ゲーム,game,1444.0
296,恋,こい,(romantic) love,2264.0
297,濃い,こい,"[1] deep (colour); dark [2] strong (flavour, smell, etc.) [3] thick (consistency); dense",1930.0
298,恋人,こいびと,lover; sweetheart; boyfriend; girlfriend,2621.0
299,幸運,こううん,good luck; fortune,4706.0
300,講演,こうえん,lecture; address; speech,4612.0
301,効果,こうか,"[1] effect; effectiveness; efficacy; result [2] effects (e.g. sound effects, visual effects, special effects)",819.0
302,硬貨,こうか,[1] coin [2] hard currency,
303,高価,こうか,highly priced; expensive; valuable; costly,3856.0
304,交換,こうかん,"exchange; interchange; switching; reciprocity; barter; substitution; replacement; clearing (of checks, cheques)",2075.0
305,航空,こうくう,aviation; flying,
306,光景,こうけい,scene; spectacle; sight; view,2240.0
307,貢献,こうけん,[1] contribution (furthering a goal or cause); services (to a cause) [2] paying tribute; tribute,2592.0
308,攻撃,こうげき,[1] attack; assault; raid; onslaught; offensive [2] criticism; censure; denunciation; condemnation,1999.0
309,広告,こうこく,[1] advertisement; advertising [2] announcement; notice,2344.0
310,後者,こうしゃ,[1] the latter; the second [2] successor; descendant,3443.0
311,構成,こうせい,composition; construction; formation; makeup; structure; organization; organisation,1403.0
312,高速,こうそく,[1] high-speed; rapid; express [2] highway; freeway; expressway; motorway,
313,行動,こうどう,action; conduct; behaviour; behavior; mobilization; mobilisation,732.0
314,幸福,こうふく,happiness; well-being; joy; welfare; blessedness,3343.0
315,公平,こうへい,fairness; impartiality; justice; objectivity,
316,候補,こうほ,[1] candidate; contender; prospect; pick; choice; list [2] candidacy; candidature; nomination,
317,考慮,こうりょ,consideration; taking into account,2184.0
318,越える,こえる,[1] to cross over; to cross; to pass through; to pass over (out of); to go beyond; to go past [2] to exceed; to surpass; to be more (than),586.0
319,氷,こおり,[1] ice [2] shaved ice (usually served with flavored simple syrup),2949.0
320,凍る,こおる,to freeze; to become frozen; to freeze over,
321,呼吸,こきゅう,[1] breathing; respiration [2] knack; trick; secret (of doing something) [3] harmony; balance; synchronization; accord,3285.0
322,国語,こくご,[1] national language [2] Japanese language (esp. as a school subject in Japan) [3] one's native language; mother tongue,4442.0
323,黒板,こくばん,blackboard,
324,克服,こくふく,"conquest (of a difficulty, illness, crisis, etc.); overcoming; surmounting; bringing under control",4346.0
325,国民,こくみん,[1] people (of a country); nation; citizen; national [2] Democratic Party for the People,824.0
326,穀物,こくもつ,grain; cereal; corn,
327,腰,こし,"[1] lower back; waist; hips; lumbar region [2] body (of hair, noodle, paper, etc.); resilience; spring",1140.0
328,個人,こじん,[1] individual; private person; personal; private [2] natural person,1012.0
329,越す,こす,[1] to cross over (e.g. mountain); to go across [2] to get over (e.g. hardship) [3] to pass time (e.g. a winter),3067.0
330,国家,こっか,state; country; nation,1861.0
331,国会,こっかい,[1] National Diet; legislative assembly of Japan (1947-) [2] Imperial Diet; legislative assembly of Japan (1889-1947) [3] legislative assembly; parliament; congress,3174.0
332,国境,こっきょう,[1] border (between countries); national border [2] Kunizakai,4078.0
333,骨折,こっせつ,bone fracture,
334,小包,こづつみ,parcel; package,
335,事,こと,[10] you should ...; I advise that you ...; it's important to ... [1] thing; matter [2] incident; occurrence; event; something serious; trouble; crisis,17.0
336,異なる,ことなる,to differ; to be different; to disagree; to vary; to diverge,873.0
337,諺,ことわざ,proverb; saying; aphorism; maxim,
338,断る,ことわる,[1] to refuse; to reject; to dismiss; to turn down; to decline [2] to inform; to give notice; to tell in advance [3] to ask leave; to excuse oneself (from),2046.0
339,粉,こな,flour; meal; powder; dust,3042.0
340,好み,このみ,[1] liking; taste; fancy; fondness [2] wish; desire; choice; preference,1903.0
341,好む,このむ,to like; to prefer,2339.0
342,小麦,こむぎ,wheat,
343,小屋,こや,[1] hut; cabin; shed; (animal) pen [2] small theatre (theater); temporary playhouse; circus tent; booth [3] one's own house,2571.0
344,これ等,これら,these,491.0
345,頃,ころ,[1] (approximate) time; around; about; toward [2] suitable time (or condition) [3] time of year; season,170.0
346,殺す,ころす,"[1] to kill; to slay; to murder; to slaughter [2] to suppress; to block; to hamper; to destroy (e.g. talent); to eliminate (e.g. an odour); to spoil (e.g. a flavour); to kill (e.g. one's speed) [3] to suppress (a voice, feelings, etc.); to hold back; to stifle (a yawn, laugh, etc.); to hold (one's breath)",832.0
347,転ぶ,ころぶ,[1] to fall down; to fall over [2] to turn out; to play out [3] to abandon Christianity (and convert to Buddhism); to apostatize,4578.0
348,今回,こんかい,this time; now,403.0
349,今後,こんご,from now on; hereafter,582.0
350,混雑,こんざつ,[1] congestion; crush; crowding; jam [2] confusion; disorder,
351,,こんなに,so; like this; in this way; this much; to this extent,
352,困難,こんなん,[1] difficulty; hardship; trouble; distress [2] infeasibility; inability (to carry out),1481.0
353,今日は,こんにちは,hello; good day; good afternoon,4446.0
354,婚約,こんやく,engagement; betrothal,
355,混乱,こんらん,disorder; chaos; confusion; mayhem,3036.0
356,,コーチ,coach,
357,,コード,[1] code; program [2] code; regulation; rules [3] code; symbol set,
358,後,ご,after,565.0
359,御,ご,[1] honorific/polite/humble prefix [2] honorific suffix,2301.0
360,語,ご,[1] word; term [2] language [3] speech,4326.0
361,豪華,ごうか,extravagant; lavish; opulent; luxurious; magnificent; splendid; fancy; gorgeous,4084.0
362,合格,ごうかく,"[1] passing (an exam); pass; success; passing grade [2] meeting (specifications, standards, etc.); passing (inspection); qualification; being found eligible",2166.0
363,合計,ごうけい,sum total; total amount,2298.0
364,強盗,ごうとう,[1] robber; mugger [2] robbery; burglary,
365,誤解,ごかい,misunderstanding,3053.0
366,語学,ごがく,[1] study of foreign languages [2] linguistics,
367,,ゴミ,rubbish; trash; garbage; refuse; litter,1132.0
368,御免なさい,ごめんなさい,I'm sorry; my apologies; excuse me; pardon me,1961.0
369,,ゴール,"[1] goal (in soccer, hockey, etc.); basket (in basketball) [2] finish line; finishing line; winning post [3] reaching the finish line; finishing (a race)",4061.0
0,差,さ,[1] difference; variation [2] difference,1271.0
1,際,さい,occasion; time; circumstances; (in) case (of); when,692.0
2,最高,さいこう,[1] best; supreme; wonderful; finest [2] highest; maximum; most; uppermost; supreme,1367.0
3,最終,さいしゅう,"[1] last; final; closing [2] last train (bus, flight, etc.; of the day)",
4,最中,さいちゅう,(in) the middle of; (in) the midst of; (in) the course of; (at) the height of,3420.0
5,最低,さいてい,[1] least; lowest; minimum [2] worst [3] awful; horrible; nasty; disgusting,2808.0
6,才能,さいのう,talent; ability,3073.0
7,裁判,さいばん,trial; judgement; judgment,2655.0
8,幸い,さいわい,[1] happiness; blessedness; luck; fortune; felicity [2] luckily; fortunately,1832.0
9,,サイン,[1] autograph; signature [2] sign; signal; indication,3280.0
10,境,さかい,[1] border; boundary [2] turning point; watershed [3] area; region; spot; space; environment,4441.0
11,逆らう,さからう,to go against; to oppose; to disobey; to defy,
12,盛り,さかり,"[1] height (e.g. of summer); peak (e.g. of cherry blossom season); (in) season; full bloom; full swing (of a party, etc.) [2] prime (of one's life); (one's) best days; bloom [3] (being in) heat; rut",
13,作業,さぎょう,work; operation; task,967.0
14,作品,さくひん,"work (e.g. book, film, painting, composition); piece; production; opus",541.0
15,作物,さくもつ,crop; crops; (agricultural) produce; farm products,
16,桜,さくら,[1] cherry tree; cherry blossom [2] fake buyer; paid audience; shill; seat filler [3] hired applauder,1442.0
17,酒,さけ,alcohol; sake,596.0
18,叫ぶ,さけぶ,[1] to shout; to cry; to scream; to shriek; to yell; to exclaim [2] to clamor (for or against); to clamour (for or against),1604.0
19,避ける,さける,"[1] to avoid (physical contact with) [2] to avoid (situation); to evade (question, subject); to shirk (one's responsibilities) [3] to ward off; to avert",1221.0
20,支える,ささえる,[1] to support; to prop; to sustain; to underlay; to hold up; to defend [2] to hold at bay; to stem; to check,1287.0
21,指す,さす,[1] to point [2] to nominate; to select someone; to specify some person [3] to identify; to indicate; to point out,
22,誘う,さそう,"[1] to invite; to ask (someone to do); to call (for); to take (someone) along [2] to tempt; to lure; to entice; to seduce [3] to induce (tears, laughter, sleepiness, etc.); to arouse (e.g. sympathy); to provoke",1581.0
23,作家,さっか,author; writer; novelist; artist,2161.0
24,作曲,さっきょく,composition (of music); setting; writing music,4945.0
25,,さっぱり,[1] feeling refreshed; feeling relieved [2] neat; tidy; clean [3] frank; open-hearted; plain; simple; light,3205.0
26,札,さつ,banknote; bill; note; paper money,
27,偖,さて,well; now; then,1062.0
28,砂漠,さばく,desert,3972.0
29,差別,さべつ,[1] distinction; differentiation; discrimination [2] discrimination (against people),2936.0
30,作法,さほう,"[1] manners; etiquette; propriety [2] manner of production (esp. of prose, poetry, etc.); way of making",
31,様々,さまざま,various; varied; diverse; all sorts of,554.0
32,覚ます,さます,[1] to awaken; to arouse from sleep [2] to bring to one's senses; to disabuse (someone of) [3] to sober up,4817.0
33,覚める,さめる,[1] to wake; to wake up [2] to become sober; to sober up; to regain consciousness (e.g. after anaesthesia) [3] to come to one's senses; to be disillusioned,3615.0
34,左右,さゆう,[1] left and right; right and left [2] (asserting) control; influence; domination [3] one's attendants; people accompanying one,1888.0
35,皿,さら,[1] plate; dish; platter; disc [2] serving; helping; course [3] kanji radical 108 (at the bottom),2207.0
36,更に,さらに,furthermore; again; after all; more and more; moreover; even more,254.0
37,去る,さる,[1] to leave; to go away [2] to pass; to elapse [3] to be distant,2041.0
38,猿,さる,"[1] monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate [2] sly person [3] idiot; hick",3902.0
39,騒ぎ,さわぎ,uproar; disturbance,
40,参加,さんか,participation; joining; entry,543.0
41,参考,さんこう,reference; consultation,1543.0
42,賛成,さんせい,approval; agreement; support; favour; favor,3044.0
43,酸素,さんそ,oxygen (O),3251.0
44,,サービス,[1] service; help; assistance; care; concern [2] discount; discounted item [3] free service; freebie; gift,1310.0
45,財産,ざいさん,property; fortune; assets,2232.0
46,材料,ざいりょう,"[1] materials; ingredients [2] material (for a novel, experiment, etc.); subject matter [3] grounds (for a decision, judgement, etc.); basis; evidence; data",890.0
47,座席,ざせき,seat,
48,,ざっと,[1] roughly; approximately; round about; more or less [2] cursorily; briefly; quickly; lightly; roughly,
49,氏,し,[1] Mr; Mrs; Ms; Miss [2] clan [3] he; him,
50,詩,し,[1] poem; poetry; verse [2] Chinese poem,2034.0
51,幸せ,しあわせ,happiness; good fortune; luck; blessing,897.0
52,然も,しかも,[1] moreover; furthermore [2] nevertheless; and yet,456.0
53,叱る,しかる,to scold; to chide; to rebuke; to reprimand,2620.0
54,式,しき,[1] way; style; fashion; method; system; form; type [2] ceremony; rite; ritual; celebration [3] wedding (ceremony),2373.0
55,支給,しきゅう,provision; supply; payment; allowance; grant,2975.0
56,頻りに,しきりに,[1] frequently; repeatedly; often; incessantly; constantly [2] eagerly; keenly; strongly; intently [3] hard; terribly; extremely; severely,
57,刺激,しげき,"[1] stimulus; stimulation; irritation (esp. of the body, e.g. skin, eyes) [2] impetus; impulse; stimulus; spur; incentive; encouragement; stimulation; motivation; provocation [3] excitement; thrill",1761.0
58,資源,しげん,resources,3977.0
59,支出,ししゅつ,expenditure; disbursement; expenses,4771.0
60,詩人,しじん,poet,4989.0
61,沈む,しずむ,[1] to sink; to go under; to submerge [2] to go down (e.g. sun); to set; to descend [3] to feel depressed; to become subdued; to become somber,2943.0
62,自然,しぜん,[1] nature [2] natural; spontaneous; automatic [3] naturally; spontaneously; automatically,412.0
63,思想,しそう,thought; idea; ideology,2442.0
64,舌,した,[1] tongue [2] tongue-like object; clapper (of a bell); talon (of a lock); reed (of a musical instrument),2828.0
